origen,destino,peso
LPZ,EAL,0.5
EAL,LPZ,0.5
EAL,ACH,1.8
ACH,EAL,1.8
EAL,DES,2.0
DES,EAL,2.0
EAL,CBY,3.5
CBY,EAL,3.5
ACH,AAN,5.0
AAN,ACH,5.0
EAL,ORU,3.0
ORU,EAL,3.0
ORU,TAM,4.0
TAM,ORU,4.0
ORU,PAB,3.5
PAB,ORU,3.5
ORU,CHA,1.5
CHA,ORU,1.5
CHA,PTS,3.5
PTS,CHA,3.5
CHA,UYU,4.0
UYU,CHA,4.0
PTS,UYU,3.0
UYU,PTS,3.0
UYU,ATO,2.0
ATO,UYU,2.0
ATO,PTS,2.5
PTS,ATO,2.5
UYU,VLL,5.0
VLL,UYU,5.0
PTS,VLL,6.0
VLL,PTS,6.0
PTS,SRE,3.0
SRE,PTS,3.0
ORU,CBB,4.0
CBB,ORU,4.0
CBB,VTU,3.5
VTU,CBB,3.5
CBB,MIQ,3.0
MIQ,CBB,3.0
CBB,SRE,7.0
SRE,CBB,7.0
MIQ,SRE,3.5
SRE,MIQ,3.5
SRE,PAD,3.0
PAD,SRE,3.0
VTU,SCZ,5.0
SCZ,VTU,5.0
CBB,SCZ,7.0
SCZ,CBB,7.0
SCZ,WAR,0.8
WAR,SCZ,0.8
WAR,MTR,0.7
MTR,WAR,0.7
SRE,VMT,5.0
VMT,SRE,5.0
VMT,SCZ,4.5
SCZ,VMT,4.5
SCZ,CAM,4.0
CAM,SCZ,4.0
SCZ,SRG,6.0
SRG,SCZ,6.0
SRG,PST,6.5
PST,SRG,6.5
PST,PQU,0.3
PQU,PST,0.3
SRE,TJA,6.0
TJA,SRE,6.0
PAD,EPZ,4.5
EPZ,PAD,4.5
CAM,YAC,3.5
YAC,CAM,3.5
TJA,EPZ,2.0
EPZ,TJA,2.0
EPZ,YAC,2.5
YAC,EPZ,2.5
TJA,YAC,3.5
YAC,TJA,3.5
TJA,BER,3.0
BER,TJA,3.0
CBB,TJN,12.0
TJN,CBB,12.0
SCZ,TJN,10.0
TJN,SCZ,10.0
CBY,RIB,12.0
RIB,CBY,12.0
TJN,RIB,11.0
RIB,TJN,11.0
RIB,GUA,1.5
GUA,RIB,1.5
RIB,CIJ,8.0
CIJ,RIB,8.0
