id,nombre,tipo,lat,lng
HCARANAVI,Hospital Municipal de Caranavi,2do Nivel,-15.8167,-67.5500
HACHACACHI,Hospital Achacachi,2do Nivel,-16.0440,-68.6860
HAPOLO,Hospital de Apolo,2do Nivel,-14.7180,-68.4180
HDESAGUADERO,Centro de Salud Desaguadero,1er Nivel,-16.5651,-69.0425
HCHALLAPATA,Hospital San Juan de Dios - Challapata,2do Nivel,-18.9021,-66.7725
HLLALLAGUA,Hospital Llallagua,2do Nivel,-18.4167,-66.5833
HUNCIA,Hospital Civil de Uncia,2do Nivel,-18.4667,-66.5667
HVILLAZON,Hospital Madre Obrera - Villazon,2do Nivel,-22.0866,-65.5960
HSANROQUE,Hospital San Roque - Villazon,2do Nivel,-22.1000,-65.6000
HTUPIZA,Hospital de Tupiza,2do Nivel,-21.4500,-65.7167
HATOCHA,Hospital de Atocha,2do Nivel,-20.9333,-66.2333
HUYUNI,Hospital de Uyuni,2do Nivel,-20.4597,-66.8250
HHUANUNI,Hospital San Martin de Porres - Huanuni,2do Nivel,-18.2833,-66.8333
HPISIGA,Centro de Salud Pisiga,1er Nivel,-19.0988,-68.6094
HSANPEDRO,Hospital Municipal San Pedro Claver - Monteagudo,2do Nivel,-19.8000,-63.9500
HSANANTONIO,Hospital San Antonio de los Sauces,2do Nivel,-19.5000,-64.5000
HPADILLA,Hospital de Padilla,2do Nivel,-19.3080,-64.3020
HCAMARGO,Hospital San Juan de Dios - Camargo,2do Nivel,-20.6333,-65.2167
HSANFRANCISCO,Hospital San Francisco de Asis - Chapare,2do Nivel,-16.9722,-65.4208
HVALLES,Hospital Viedma - Quillacollo,2do Nivel,-17.3833,-66.2833
HCLINICAS-CBB,Clinica Los Andes - Cochabamba,2do Nivel,-17.3900,-66.1600
HMIZQUE,Hospital Mizque,2do Nivel,-17.9419,-65.3403
HTIRAQUE,Centro de Salud Integral Tiraque,1er Nivel,-17.4167,-65.7167
HSANTIVANEZ,Centro de Salud Integral Santivanez,1er Nivel,-17.5500,-66.2500
HISCAYACHI,Centro de Salud con Internacion Iscayachi,1er Nivel,-21.3167,-64.9500
HYACUIBA,Hospital San Juan de Dios - Yacuiba,2do Nivel,-22.0167,-63.6833
HBERMEJO,Hospital Virgen de Chaguaya - Bermejo,2do Nivel,-22.7314,-64.3372
HPADCAYA,Hospital Padcaya,2do Nivel,-21.8833,-64.7167
HVILLAMONTES,Hospital de Villamontes,2do Nivel,-21.2600,-63.4700
HCAIZA,Hospital de Caiza,2do Nivel,-21.9500,-63.5500
HMONTERO,Hospital Municipal de Montero,2do Nivel,-17.3386,-63.2517
HWARNES,Hospital Municipal de Warnes,2do Nivel,-17.5167,-63.1667
HETORNO,Hospital El Torno,2do Nivel,-18.0000,-63.3833
HLAGUARDIA,Hospital Romulo Gomez - La Guardia,2do Nivel,-17.8833,-63.3167
HMAIRANA,Hospital Municipal de Mairana,2do Nivel,-18.1000,-63.9333
HVALLEGRANDE,Hospital de Vallegrande,2do Nivel,-18.4892,-64.1061
HSAMAI,Hospital de Samaipata,2do Nivel,-18.1833,-63.8833
HCOMARAPA,Hospital San Martin de Porres - Comarapa,2do Nivel,-17.9167,-64.5333
HPORTACHUELO,Clinica ECOCEDEM - Portachuelo,2do Nivel,-17.3500,-63.4000
HCONCEPCION,Hospital Municipal Cesar Banzer - Concepcion,2do Nivel,-16.1333,-62.0167
HSANIGNACIOV,Hospital Dr. Julio Manuel Aramayo - San Ignacio,2do Nivel,-16.3667,-60.9500
HSANJOSE-SCZ,Hospital Bernardino Gil Julio - San Jose,2do Nivel,-17.8500,-60.7500
HROBORE,Hospital German Vaca Diez - Robore,2do Nivel,-18.3333,-59.7500
HGUAYAROS,Hospital de Ascencion de Guarayos,2do Nivel,-15.8833,-63.1833
HSANMATIAS,Hospital San Matias,2do Nivel,-16.3667,-58.4000
HPUERTOSUAREZ,Hospital Municipal San Juan de Dios - Puerto Suarez,2do Nivel,-18.9649,-57.7977
HPUERTOQUIJARRO,Hospital Presidente German Busch - Puerto Quijarro,2do Nivel,-19.0086,-57.7161
HCAMIRI,Clinica Senor de la Veracruz - Camiri,2do Nivel,-20.0385,-63.5174
HCHARAGUA,Hospital Mamerto Eguez - Charagua,2do Nivel,-19.8000,-63.2000
HCABEZAS,Hospital Francisco del Pilar - Cabezas,2do Nivel,-18.7833,-63.3167
HYAPACANI,Hospital Municipal de Yapacani,2do Nivel,-17.4000,-63.8833
HSANJULIAN,Hospital San Julian,2do Nivel,-16.9500,-62.8500
HCUATROCA,Hospital de Cuatro Canadas,2do Nivel,-17.2167,-62.5667
HPALLON,Hospital de Pailon,2do Nivel,-17.6500,-62.7500
HLAVALLE,Hospital de La Valle,2do Nivel,-18.2167,-64.7500
HSANBORJA,Hospital San Borja,2do Nivel,-14.8500,-66.7500
HRURREN,Hospital Rurrenabaque,2do Nivel,-14.4422,-67.5275
HSANIGNACIO,Hospital San Ignacio de Moxos,2do Nivel,-15.0000,-65.6667
HRIBERALTA,Hospital Materno Infantil Reidun Roine - Riberalta,2do Nivel,-11.0065,-66.0631
HGUAYARA,Hospital de Guayaramerin,2do Nivel,-10.8368,-65.3581
HCOBIJA,Hospital General San Jose - Cobija,2do Nivel,-11.0267,-68.7692
HCARDES,Clinica Cardes - Trinidad,2do Nivel,-14.8333,-64.9000
HMILITAR4,Hospital Militar N4 - Trinidad,2do Nivel,-14.8333,-64.9000
HSANLORENZO,Hospital de San Lorenzo,2do Nivel,-21.4167,-64.7500
HHUACARAJE,Centro de Salud Huacaraje San Martin de Porres,1er Nivel,-13.9167,-63.9333
HSANJOAQUIN,Centro de Salud Henry K. Beye - San Joaquin,1er Nivel,-13.0333,-64.6667
HSANRAMON,Hospital San Ramon,2do Nivel,-13.2667,-64.6167
HREYES,Hospital San Juan de Dios - Reyes,2do Nivel,-14.3000,-67.3333
HSANTAROSA,Hospital Santa Rosa,2do Nivel,-13.8833,-66.8833
HSANTAANA,Hospital Jacobo Abularach - Santa Ana,2do Nivel,-13.7500,-65.5833
